Place,Population,Per Capita Income,Poverty Count,Poverty Rate,County,State
"Troup County, Georgia",69919,23124,14500,0.21,Troup County,Georgia
"Turner County, Georgia",7943,19527,2558,0.32,Turner County,Georgia
"Twiggs County, Georgia",8229,20979,1576,0.19,Twiggs County,Georgia
"Union County, Georgia",23288,28953,3272,0.14,Union County,Georgia
"Upson County, Georgia",26236,21747,5359,0.2,Upson County,Georgia
"Walker County, Georgia",69039,24247,10892,0.16,Walker County,Georgia
"Walton County, Georgia",91442,27889,10901,0.12,Walton County,Georgia
"Ware County, Georgia",35593,20411,8213,0.23,Ware County,Georgia
"Warren County, Georgia",5297,23448,1402,0.26,Warren County,Georgia
"Washington County, Georgia",20436,20303,4116,0.2,Washington County,Georgia
"Wayne County, Georgia",29788,21090,4209,0.14,Wayne County,Georgia
"Webster County, Georgia",2610,24102,584,0.22,Webster County,Georgia
"Wheeler County, Georgia",7928,14654,1977,0.25,Wheeler County,Georgia
"White County, Georgia",29489,27406,3146,0.11,White County,Georgia
"Whitfield County, Georgia",104237,23974,16355,0.16,Whitfield County,Georgia
"Wilcox County, Georgia",8824,16183,1628,0.18,Wilcox County,Georgia
"Wilkes County, Georgia",9844,24674,2294,0.23,Wilkes County,Georgia
"Wilkinson County, Georgia",9010,22141,2077,0.23,Wilkinson County,Georgia
"Worth County, Georgia",20494,24415,3847,0.19,Worth County,Georgia
"Hawaii County, Hawaii",199459,30542,30632,0.15,Hawaii County,Hawaii
"Honolulu County, Hawaii",984821,36816,79070,0.08,Honolulu County,Hawaii
"Kalawao County, Hawaii",66,49118,6,0.09,Kalawao County,Hawaii
"Kauai County, Hawaii",71769,33143,5752,0.08,Kauai County,Hawaii
"Maui County, Hawaii",165979,35241,15189,0.09,Maui County,Hawaii
"Ada County, Idaho",456849,34919,48513,0.11,Ada County,Idaho
"Adams County, Idaho",4097,28026,494,0.12,Adams County,Idaho
"Bannock County, Idaho",85765,25076,13704,0.16,Bannock County,Idaho
"Bear Lake County, Idaho",6000,26378,998,0.17,Bear Lake County,Idaho
"Benewah County, Idaho",9138,23255,1558,0.17,Benewah County,Idaho
"Bingham County, Idaho",45839,23059,5039,0.11,Bingham County,Idaho
"Blaine County, Idaho",22373,33645,2797,0.13,Blaine County,Idaho
"Boise County, Idaho",7378,31975,787,0.11,Boise County,Idaho
"Bonner County, Idaho",43611,27918,6262,0.14,Bonner County,Idaho
"Bonneville County, Idaho",114392,28671,11856,0.1,Bonneville County,Idaho
"Boundary County, Idaho",11845,25782,2250,0.19,Boundary County,Idaho
"Butte County, Idaho",2581,30294,458,0.18,Butte County,Idaho
"Camas County, Idaho",1048,30209,163,0.16,Camas County,Idaho
