Place,Population,Per Capita Income,Poverty Count,Poverty Rate,County,State
"Wright County, Iowa",12739,29622,1461,0.11,Wright County,Iowa
"Allen County, Kansas",12556,23734,2138,0.17,Allen County,Kansas
"Anderson County, Kansas",7835,24309,1151,0.15,Anderson County,Kansas
"Atchison County, Kansas",16268,24237,2269,0.14,Atchison County,Kansas
"Barber County, Kansas",4624,27648,746,0.16,Barber County,Kansas
"Barton County, Kansas",26453,27495,3978,0.15,Barton County,Kansas
"Bourbon County, Kansas",14608,23102,2271,0.16,Bourbon County,Kansas
"Brown County, Kansas",9626,25208,1257,0.13,Brown County,Kansas
"Butler County, Kansas",66698,29986,6025,0.09,Butler County,Kansas
"Chase County, Kansas",2637,23055,300,0.11,Chase County,Kansas
"Chautauqua County, Kansas",3323,22962,605,0.18,Chautauqua County,Kansas
"Cherokee County, Kansas",20179,22615,2604,0.13,Cherokee County,Kansas
"Cheyenne County, Kansas",2665,29041,247,0.09,Cheyenne County,Kansas
"Clark County, Kansas",2026,28227,213,0.11,Clark County,Kansas
"Clay County, Kansas",8082,29235,642,0.08,Clay County,Kansas
"Cloud County, Kansas",8938,27279,965,0.11,Cloud County,Kansas
"Coffey County, Kansas",8254,33371,1008,0.12,Coffey County,Kansas
"Comanche County, Kansas",1740,30355,175,0.1,Comanche County,Kansas
"Cowley County, Kansas",35351,24726,4675,0.13,Cowley County,Kansas
"Crawford County, Kansas",38968,23091,7513,0.19,Crawford County,Kansas
"Decatur County, Kansas",2860,30905,433,0.15,Decatur County,Kansas
"Dickinson County, Kansas",18828,27219,2184,0.12,Dickinson County,Kansas
"Doniphan County, Kansas",7684,25775,926,0.12,Doniphan County,Kansas
"Douglas County, Kansas",120290,32281,20169,0.17,Douglas County,Kansas
"Edwards County, Kansas",2869,27431,277,0.1,Edwards County,Kansas
"Elk County, Kansas",2523,23875,449,0.18,Elk County,Kansas
"Ellis County, Kansas",28775,30956,4271,0.15,Ellis County,Kansas
"Ellsworth County, Kansas",6231,26443,493,0.08,Ellsworth County,Kansas
"Finney County, Kansas",36750,24152,4459,0.12,Finney County,Kansas
"Ford County, Kansas",34179,23293,4858,0.14,Ford County,Kansas
"Franklin County, Kansas",25558,26998,2441,0.1,Franklin County,Kansas
"Geary County, Kansas",34025,23897,4292,0.13,Geary County,Kansas
"Gove County, Kansas",2644,28859,259,0.1,Gove County,Kansas
"Graham County, Kansas",2519,27236,242,0.1,Graham County,Kansas
"Grant County, Kansas",7467,25411,848,0.11,Grant County,Kansas
"Gray County, Kansas",6039,29421,338,0.06,Gray County,Kansas
"Greeley County, Kansas",1185,28982,86,0.07,Greeley County,Kansas
"Greenwood County, Kansas",6081,27500,799,0.13,Greenwood County,Kansas
"Hamilton County, Kansas",2591,22003,272,0.1,Hamilton County,Kansas
"Harper County, Kansas",5594,24800,874,0.16,Harper County,Kansas
"Harvey County, Kansas",34503,28226,3172,0.09,Harvey County,Kansas
"Haskell County, Kansas",4018,26814,418,0.1,Haskell County,Kansas
"Hodgeman County, Kansas",1876,30044,204,0.11,Hodgeman County,Kansas
"Jackson County, Kansas",13266,28127,1525,0.11,Jackson County,Kansas
"Jefferson County, Kansas",18890,30655,1398,0.07,Jefferson County,Kansas
"Jewell County, Kansas",2885,27731,501,0.17,Jewell County,Kansas
"Johnson County, Kansas",591506,46517,31422,0.05,Johnson County,Kansas
"Kearny County, Kansas",3907,23415,749,0.19,Kearny County,Kansas
"Kingman County, Kansas",7340,34578,549,0.07,Kingman County,Kansas
"Kiowa County, Kansas",2505,26321,155,0.06,Kiowa County,Kansas
"Labette County, Kansas",20119,24572,3619,0.18,Labette County,Kansas
"Lane County, Kansas",1564,28435,187,0.12,Lane County,Kansas
"Leavenworth County, Kansas",80745,32444,6379,0.08,Leavenworth County,Kansas
"Lincoln County, Kansas",3044,25803,271,0.09,Lincoln County,Kansas
"Linn County, Kansas",9671,27926,1565,0.16,Linn County,Kansas
"Logan County, Kansas",2805,28135,224,0.08,Logan County,Kansas
"Lyon County, Kansas",33251,26904,5356,0.16,Lyon County,Kansas
"McPherson County, Kansas",28567,31006,2382,0.08,McPherson County,Kansas
"Marion County, Kansas",11964,26577,971,0.08,Marion County,Kansas
"Marshall County, Kansas",9749,28469,854,0.09,Marshall County,Kansas
"Meade County, Kansas",4180,28945,264,0.06,Meade County,Kansas
"Miami County, Kansas",33417,35659,2254,0.07,Miami County,Kansas
"Mitchell County, Kansas",6145,25801,874,0.14,Mitchell County,Kansas
"Montgomery County, Kansas",32521,24647,5911,0.18,Montgomery County,Kansas
"Morris County, Kansas",5566,29558,493,0.09,Morris County,Kansas
"Morton County, Kansas",2754,23447,273,0.1,Morton County,Kansas
"Nemaha County, Kansas",10121,30344,859,0.08,Nemaha County,Kansas
"Neosho County, Kansas",16108,23845,2926,0.18,Neosho County,Kansas
"Ness County, Kansas",2876,34243,287,0.1,Ness County,Kansas
"Norton County, Kansas",5446,25352,564,0.1,Norton County,Kansas
"Osage County, Kansas",15881,27951,2226,0.14,Osage County,Kansas
"Osborne County, Kansas",3530,30843,506,0.14,Osborne County,Kansas
"Ottawa County, Kansas",5822,29230,567,0.1,Ottawa County,Kansas
"Pawnee County, Kansas",6629,25131,353,0.05,Pawnee County,Kansas
"Phillips County, Kansas",5340,27431,511,0.1,Phillips County,Kansas
"Pottawatomie County, Kansas",23847,29345,1900,0.08,Pottawatomie County,Kansas
"Pratt County, Kansas",9452,27442,1047,0.11,Pratt County,Kansas
"Rawlins County, Kansas",2502,28590,268,0.11,Rawlins County,Kansas
"Reno County, Kansas",62765,27073,7701,0.12,Reno County,Kansas
"Republic County, Kansas",4658,27424,492,0.11,Republic County,Kansas
"Rice County, Kansas",9658,26737,1271,0.13,Rice County,Kansas
"Riley County, Kansas",75056,27272,14591,0.19,Riley County,Kansas
"Rooks County, Kansas",5053,26420,380,0.08,Rooks County,Kansas
"Rush County, Kansas",3022,26552,304,0.1,Rush County,Kansas
"Russell County, Kansas",6948,26090,761,0.11,Russell County,Kansas
"Saline County, Kansas",54701,28813,6132,0.11,Saline County,Kansas
"Scott County, Kansas",4917,29315,292,0.06,Scott County,Kansas
"Sedgwick County, Kansas",513375,29530,69506,0.14,Sedgwick County,Kansas
"Seward County, Kansas",22349,20754,3668,0.16,Seward County,Kansas
"Shawnee County, Kansas",177852,30974,19811,0.11,Shawnee County,Kansas
"Sheridan County, Kansas",2506,35465,130,0.05,Sheridan County,Kansas
"Sherman County, Kansas",5938,27919,660,0.11,Sherman County,Kansas
"Smith County, Kansas",3627,28994,400,0.11,Smith County,Kansas
"Stafford County, Kansas",4181,28060,507,0.12,Stafford County,Kansas
"Stanton County, Kansas",2052,23033,370,0.18,Stanton County,Kansas
"Stevens County, Kansas",5603,24652,1099,0.2,Stevens County,Kansas
"Sumner County, Kansas",23114,26954,2667,0.12,Sumner County,Kansas
"Thomas County, Kansas",7810,30442,883,0.11,Thomas County,Kansas
"Trego County, Kansas",2840,34230,191,0.07,Trego County,Kansas
"Wabaunsee County, Kansas",6889,27876,330,0.05,Wabaunsee County,Kansas
"Wallace County, Kansas",1574,27966,146,0.09,Wallace County,Kansas
"Washington County, Kansas",5493,27841,581,0.11,Washington County,Kansas
"Wichita County, Kansas",2130,29126,69,0.03,Wichita County,Kansas
"Wilson County, Kansas",8688,27471,1196,0.14,Wilson County,Kansas
"Woodson County, Kansas",3157,22672,604,0.19,Woodson County,Kansas
"Wyandotte County, Kansas",164861,22335,31261,0.19,Wyandotte County,Kansas
"Adair County, Kentucky",19222,21196,3655,0.19,Adair County,Kentucky
"Allen County, Kentucky",20944,22294,3866,0.18,Allen County,Kentucky
"Anderson County, Kentucky",22409,27250,3480,0.16,Anderson County,Kentucky
"Ballard County, Kentucky",8032,25217,1213,0.15,Ballard County,Kentucky
"Barren County, Kentucky",43884,21869,10368,0.24,Barren County,Kentucky
"Bath County, Kentucky",12355,22238,2501,0.2,Bath County,Kentucky
"Bell County, Kentucky",26791,15501,9218,0.34,Bell County,Kentucky
"Boone County, Kentucky",130820,35991,9271,0.07,Boone County,Kentucky
"Bourbon County, Kentucky",20058,27802,3005,0.15,Bourbon County,Kentucky
"Boyd County, Kentucky",47682,26193,8622,0.18,Boyd County,Kentucky
"Boyle County, Kentucky",29972,26413,3801,0.13,Boyle County,Kentucky
"Bracken County, Kentucky",8305,24124,1463,0.18,Bracken County,Kentucky
"Breathitt County, Kentucky",12977,19053,4367,0.34,Breathitt County,Kentucky
"Breckinridge County, Kentucky",20176,23286,3674,0.18,Breckinridge County,Kentucky
"Bullitt County, Kentucky",80171,29333,7150,0.09,Bullitt County,Kentucky
"Butler County, Kentucky",12764,22951,2407,0.19,Butler County,Kentucky
"Caldwell County, Kentucky",12702,28799,2112,0.17,Caldwell County,Kentucky
"Calloway County, Kentucky",38837,23219,7541,0.19,Calloway County,Kentucky
"Campbell County, Kentucky",92861,34025,12081,0.13,Campbell County,Kentucky
"Carlisle County, Kentucky",4784,30065,796,0.17,Carlisle County,Kentucky
"Carroll County, Kentucky",10671,25217,2474,0.23,Carroll County,Kentucky
"Carter County, Kentucky",27159,18778,6674,0.25,Carter County,Kentucky
"Casey County, Kentucky",15885,18457,3936,0.25,Casey County,Kentucky
"Christian County, Kentucky",71414,23021,12635,0.18,Christian County,Kentucky
"Clark County, Kentucky",35971,28802,5205,0.14,Clark County,Kentucky
"Clay County, Kentucky",20368,15391,6940,0.34,Clay County,Kentucky
"Clinton County, Kentucky",10193,21019,2423,0.24,Clinton County,Kentucky
"Crittenden County, Kentucky",9000,23959,1258,0.14,Crittenden County,Kentucky
"Cumberland County, Kentucky",6697,18728,1406,0.21,Cumberland County,Kentucky
"Daviess County, Kentucky",100474,28806,16174,0.16,Daviess County,Kentucky
"Edmonson County, Kentucky",12138,21802,2182,0.18,Edmonson County,Kentucky
"Elliott County, Kentucky",7510,13856,1808,0.24,Elliott County,Kentucky
"Estill County, Kentucky",14224,17746,4345,0.31,Estill County,Kentucky
"Fayette County, Kentucky",320601,34442,51715,0.16,Fayette County,Kentucky
"Fleming County, Kentucky",14513,23593,2877,0.2,Fleming County,Kentucky
"Floyd County, Kentucky",36456,19471,10973,0.3,Floyd County,Kentucky
"Franklin County, Kentucky",50529,30711,6015,0.12,Franklin County,Kentucky
"Fulton County, Kentucky",6130,18247,1604,0.26,Fulton County,Kentucky
"Gallatin County, Kentucky",8737,23638,1258,0.14,Gallatin County,Kentucky
"Garrard County, Kentucky",17445,26272,2712,0.16,Garrard County,Kentucky
"Grant County, Kentucky",24951,23721,4012,0.16,Grant County,Kentucky
"Graves County, Kentucky",37248,24750,7165,0.19,Graves County,Kentucky
"Grayson County, Kentucky",26247,21231,6585,0.25,Grayson County,Kentucky
"Green County, Kentucky",10979,22506,1953,0.18,Green County,Kentucky
"Greenup County, Kentucky",35555,27722,5909,0.17,Greenup County,Kentucky
"Hancock County, Kentucky",8720,24830,1015,0.12,Hancock County,Kentucky
"Hardin County, Kentucky",108527,28606,13938,0.13,Hardin County,Kentucky
"Harlan County, Kentucky",26699,16468,9335,0.35,Harlan County,Kentucky
"Harrison County, Kentucky",18722,24154,3225,0.17,Harrison County,Kentucky
"Hart County, Kentucky",18729,20742,3944,0.21,Hart County,Kentucky
"Henderson County, Kentucky",45829,26212,8273,0.18,Henderson County,Kentucky
"Henry County, Kentucky",15911,25202,2890,0.18,Henry County,Kentucky
"Hickman County, Kentucky",4510,28114,647,0.14,Hickman County,Kentucky
"Hopkins County, Kentucky",45331,25042,8534,0.19,Hopkins County,Kentucky
"Jackson County, Kentucky",13369,18560,4240,0.32,Jackson County,Kentucky
"Jefferson County, Kentucky",767419,33251,106938,0.14,Jefferson County,Kentucky
"Jessamine County, Kentucky",53032,31146,8651,0.16,Jessamine County,Kentucky
"Johnson County, Kentucky",22634,21974,5003,0.22,Johnson County,Kentucky
"Kenton County, Kentucky",165668,33330,18716,0.11,Kenton County,Kentucky
"Knott County, Kentucky",15260,18475,4531,0.3,Knott County,Kentucky
"Knox County, Kentucky",31365,17832,10113,0.32,Knox County,Kentucky
"Larue County, Kentucky",14204,24803,2013,0.14,Larue County,Kentucky
"Laurel County, Kentucky",60357,22398,13790,0.23,Laurel County,Kentucky
"Lawrence County, Kentucky",15671,18124,4115,0.26,Lawrence County,Kentucky
"Lee County, Kentucky",6881,17386,2236,0.32,Lee County,Kentucky
"Leslie County, Kentucky",10283,15838,3680,0.36,Leslie County,Kentucky
"Letcher County, Kentucky",22295,20641,7409,0.33,Letcher County,Kentucky
"Lewis County, Kentucky",13417,19860,3219,0.24,Lewis County,Kentucky
"Lincoln County, Kentucky",24476,21480,5086,0.21,Lincoln County,Kentucky
"Livingston County, Kentucky",9235,27728,1331,0.14,Livingston County,Kentucky
"Logan County, Kentucky",26902,24221,4507,0.17,Logan County,Kentucky
"Lyon County, Kentucky",8271,26994,1100,0.13,Lyon County,Kentucky
"McCracken County, Kentucky",65268,32357,10042,0.15,McCracken County,Kentucky
"McCreary County, Kentucky",17465,14505,5330,0.31,McCreary County,Kentucky
"McLean County, Kentucky",9283,25610,1471,0.16,McLean County,Kentucky
"Madison County, Kentucky",90802,25837,15901,0.18,Madison County,Kentucky
"Magoffin County, Kentucky",12491,18243,3486,0.28,Magoffin County,Kentucky
"Marion County, Kentucky",19244,22241,4236,0.22,Marion County,Kentucky
"Marshall County, Kentucky",31192,29792,3177,0.1,Marshall County,Kentucky
"Martin County, Kentucky",11648,18017,2064,0.18,Martin County,Kentucky
"Mason County, Kentucky",17112,28411,2978,0.17,Mason County,Kentucky
"Meade County, Kentucky",28182,27861,3369,0.12,Meade County,Kentucky
"Menifee County, Kentucky",6443,20588,1507,0.23,Menifee County,Kentucky
"Mercer County, Kentucky",21592,27061,3032,0.14,Mercer County,Kentucky
"Metcalfe County, Kentucky",10036,19121,2304,0.23,Metcalfe County,Kentucky
"Monroe County, Kentucky",10627,23481,2493,0.23,Monroe County,Kentucky
"Montgomery County, Kentucky",27884,22381,5006,0.18,Montgomery County,Kentucky
"Morgan County, Kentucky",13288,18310,2629,0.2,Morgan County,Kentucky
"Muhlenberg County, Kentucky",30951,22612,4587,0.15,Muhlenberg County,Kentucky
"Nelson County, Kentucky",45650,32735,4147,0.09,Nelson County,Kentucky
"Nicholas County, Kentucky",7153,22212,1965,0.27,Nicholas County,Kentucky
"Ohio County, Kentucky",24071,24297,4435,0.18,Ohio County,Kentucky
"Oldham County, Kentucky",65967,42272,3664,0.06,Oldham County,Kentucky
"Owen County, Kentucky",10796,25640,2021,0.19,Owen County,Kentucky
"Owsley County, Kentucky",4442,18940,1305,0.29,Owsley County,Kentucky
"Pendleton County, Kentucky",14572,24120,2554,0.18,Pendleton County,Kentucky
"Perry County, Kentucky",26624,23135,6712,0.25,Perry County,Kentucky
"Pike County, Kentucky",59497,22437,14545,0.24,Pike County,Kentucky
"Powell County, Kentucky",12304,20841,2548,0.21,Powell County,Kentucky
"Pulaski County, Kentucky",64350,24646,14330,0.22,Pulaski County,Kentucky
"Robertson County, Kentucky",2123,22552,522,0.25,Robertson County,Kentucky
"Rockcastle County, Kentucky",16820,20892,3284,0.2,Rockcastle County,Kentucky
"Rowan County, Kentucky",24507,20488,5991,0.24,Rowan County,Kentucky
"Russell County, Kentucky",17778,20674,4054,0.23,Russell County,Kentucky
"Scott County, Kentucky",54667,32796,6111,0.11,Scott County,Kentucky
"Shelby County, Kentucky",47325,32468,5174,0.11,Shelby County,Kentucky
"Simpson County, Kentucky",18183,24458,2770,0.15,Simpson County,Kentucky
"Spencer County, Kentucky",18680,33661,1799,0.1,Spencer County,Kentucky
"Taylor County, Kentucky",25571,23602,4365,0.17,Taylor County,Kentucky
"Todd County, Kentucky",12316,23143,2254,0.18,Todd County,Kentucky
"Trigg County, Kentucky",14449,28264,1673,0.12,Trigg County,Kentucky
"Trimble County, Kentucky",8558,27237,1460,0.17,Trimble County,Kentucky
"Union County, Kentucky",14638,23097,2905,0.2,Union County,Kentucky
"Warren County, Kentucky",128652,28558,20285,0.16,Warren County,Kentucky
"Washington County, Kentucky",12023,26035,1777,0.15,Washington County,Kentucky
"Wayne County, Kentucky",20546,25707,5073,0.25,Wayne County,Kentucky
"Webster County, Kentucky",13068,22911,2897,0.22,Webster County,Kentucky
"Whitley County, Kentucky",36131,20547,8037,0.22,Whitley County,Kentucky
"Wolfe County, Kentucky",7207,14923,2058,0.29,Wolfe County,Kentucky
"Woodford County, Kentucky",26318,32264,3375,0.13,Woodford County,Kentucky
"Acadia Parish, Louisiana",62457,23122,14822,0.24,Acadia Parish,Louisiana
"Allen Parish, Louisiana",25618,20964,3056,0.12,Allen Parish,Louisiana
"Ascension Parish, Louisiana",123114,34168,12959,0.11,Ascension Parish,Louisiana
"Assumption Parish, Louisiana",22478,25752,4261,0.19,Assumption Parish,Louisiana
"Avoyelles Parish, Louisiana",40669,22017,8988,0.22,Avoyelles Parish,Louisiana
"Beauregard Parish, Louisiana",37043,26331,5668,0.15,Beauregard Parish,Louisiana
"Bienville Parish, Louisiana",13564,21491,3759,0.28,Bienville Parish,Louisiana
"Bossier Parish, Louisiana",126499,28766,21234,0.17,Bossier Parish,Louisiana
"Caddo Parish, Louisiana",245831,26545,56184,0.23,Caddo Parish,Louisiana
"Calcasieu Parish, Louisiana",201619,28778,34263,0.17,Calcasieu Parish,Louisiana
"Caldwell Parish, Louisiana",9992,23216,2393,0.24,Caldwell Parish,Louisiana
"Cameron Parish, Louisiana",6930,28358,683,0.1,Cameron Parish,Louisiana
"Catahoula Parish, Louisiana",9766,22412,1878,0.19,Catahoula Parish,Louisiana
"Claiborne Parish, Louisiana",15985,16770,4625,0.29,Claiborne Parish,Louisiana
"Concordia Parish, Louisiana",19778,19092,4436,0.22,Concordia Parish,Louisiana
"De Soto Parish, Louisiana",27289,26767,5942,0.22,De Soto Parish,Louisiana
"East Baton Rouge Parish, Louisiana",443763,32431,78365,0.18,East Baton Rouge Parish,Louisiana
"East Carroll Parish, Louisiana",7096,19483,1972,0.28,East Carroll Parish,Louisiana
"East Feliciana Parish, Louisiana",19371,23612,2779,0.14,East Feliciana Parish,Louisiana
"Evangeline Parish, Louisiana",33589,18770,9111,0.27,Evangeline Parish,Louisiana
"Franklin Parish, Louisiana",20238,19206,5511,0.27,Franklin Parish,Louisiana
"Grant Parish, Louisiana",22340,18801,3595,0.16,Grant Parish,Louisiana
"Iberia Parish, Louisiana",71887,23290,15669,0.22,Iberia Parish,Louisiana
"Iberville Parish, Louisiana",32822,23751,5381,0.16,Iberville Parish,Louisiana
"Jackson Parish, Louisiana",15879,21594,3333,0.21,Jackson Parish,Louisiana
"Jefferson Parish, Louisiana",434850,30374,66701,0.15,Jefferson Parish,Louisiana
"Jefferson Davis Parish, Louisiana",31441,25474,5897,0.19,Jefferson Davis Parish,Louisiana
"Lafayette Parish, Louisiana",241973,31892,40979,0.17,Lafayette Parish,Louisiana
"Lafourche Parish, Louisiana",98108,28683,14899,0.15,Lafourche Parish,Louisiana
"LaSalle Parish, Louisiana",14936,21654,2704,0.18,LaSalle Parish,Louisiana
"Lincoln Parish, Louisiana",47246,22863,13350,0.28,Lincoln Parish,Louisiana
"Livingston Parish, Louisiana",138928,29354,17099,0.12,Livingston Parish,Louisiana
"Madison Parish, Louisiana",11306,16671,3408,0.3,Madison Parish,Louisiana
"Morehouse Parish, Louisiana",25610,18494,7013,0.27,Morehouse Parish,Louisiana
"Natchitoches Parish, Louisiana",38769,19198,12235,0.32,Natchitoches Parish,Louisiana
"Orleans Parish, Louisiana",390845,31385,89340,0.23,Orleans Parish,Louisiana
"Ouachita Parish, Louisiana",155494,24361,36766,0.24,Ouachita Parish,Louisiana
"Plaquemines Parish, Louisiana",23338,29258,4188,0.18,Plaquemines Parish,Louisiana
"Pointe Coupee Parish, Louisiana",22016,28180,4538,0.21,Pointe Coupee Parish,Louisiana
"Rapides Parish, Louisiana",130970,25984,24858,0.19,Rapides Parish,Louisiana
"Red River Parish, Louisiana",8565,22924,2106,0.25,Red River Parish,Louisiana
"Richland Parish, Louisiana",20350,20107,5926,0.29,Richland Parish,Louisiana
"Sabine Parish, Louisiana",23991,22687,4384,0.18,Sabine Parish,Louisiana
"St. Bernard Parish, Louisiana",46266,20763,9681,0.21,St. Bernard Parish,Louisiana
"St. Charles Parish, Louisiana",52773,32935,5854,0.11,St. Charles Parish,Louisiana
"St. Helena Parish, Louisiana",10297,24380,1861,0.18,St. Helena Parish,Louisiana
"St. James Parish, Louisiana",21308,26739,3597,0.17,St. James Parish,Louisiana
"St. John the Baptist Parish, Louisiana",43242,25968,7413,0.17,St. John the Baptist Parish,Louisiana
"St. Landry Parish, Louisiana",83172,21162,21355,0.26,St. Landry Parish,Louisiana
"St. Martin Parish, Louisiana",53732,24997,9986,0.19,St. Martin Parish,Louisiana
"St. Mary Parish, Louisiana",50968,22839,9890,0.19,St. Mary Parish,Louisiana
"St. Tammany Parish, Louisiana",255155,34658,28957,0.11,St. Tammany Parish,Louisiana
"Tangipahoa Parish, Louisiana",132057,25163,27511,0.21,Tangipahoa Parish,Louisiana
"Tensas Parish, Louisiana",4561,15912,1578,0.35,Tensas Parish,Louisiana
"Terrebonne Parish, Louisiana",112054,25924,22720,0.2,Terrebonne Parish,Louisiana
"Union Parish, Louisiana",22353,24030,3762,0.17,Union Parish,Louisiana
"Vermilion Parish, Louisiana",59865,25342,10392,0.17,Vermilion Parish,Louisiana
"Vernon Parish, Louisiana",49646,24554,8166,0.16,Vernon Parish,Louisiana
"Washington Parish, Louisiana",46435,20177,10840,0.23,Washington Parish,Louisiana
"Webster Parish, Louisiana",39242,18962,11416,0.29,Webster Parish,Louisiana
"West Baton Rouge Parish, Louisiana",26101,29697,3141,0.12,West Baton Rouge Parish,Louisiana
"West Carroll Parish, Louisiana",11041,22439,2324,0.21,West Carroll Parish,Louisiana
"West Feliciana Parish, Louisiana",15428,26945,1447,0.09,West Feliciana Parish,Louisiana
"Winn Parish, Louisiana",14313,22107,2318,0.16,Winn Parish,Louisiana
"Androscoggin County, Maine",107602,28956,12283,0.11,Androscoggin County,Maine
"Aroostook County, Maine",67809,25477,10549,0.16,Aroostook County,Maine
"Cumberland County, Maine",292307,40527,25700,0.09,Cumberland County,Maine
"Franklin County, Maine",29982,27252,3308,0.11,Franklin County,Maine
"Hancock County, Maine",54601,34361,5748,0.11,Hancock County,Maine
"Kennebec County, Maine",121753,30685,15117,0.12,Kennebec County,Maine
"Knox County, Maine",39759,33126,3763,0.09,Knox County,Maine
"Lincoln County, Maine",34201,33595,4140,0.12,Lincoln County,Maine
"Oxford County, Maine",57550,25464,8592,0.15,Oxford County,Maine
"Penobscot County, Maine",151774,28523,21501,0.14,Penobscot County,Maine
"Piscataquis County, Maine",16836,24074,3040,0.18,Piscataquis County,Maine
"Sagadahoc County, Maine",35452,34675,3388,0.1,Sagadahoc County,Maine
"Somerset County, Maine",50520,24386,10114,0.2,Somerset County,Maine
"Waldo County, Maine",39539,29674,5214,0.13,Waldo County,Maine
"Washington County, Maine",31491,25157,5756,0.18,Washington County,Maine
"York County, Maine",204316,36093,14918,0.07,York County,Maine
"Allegany County, Maryland",71445,23607,10477,0.15,Allegany County,Maryland
"Anne Arundel County, Maryland",571275,46629,32087,0.06,Anne Arundel County,Maryland
"Baltimore County, Maryland",828018,40105,73061,0.09,Baltimore County,Maryland
"Calvert County, Maryland",91511,45783,4183,0.05,Calvert County,Maryland
"Caroline County, Maryland",33049,29624,4520,0.14,Caroline County,Maryland
"Carroll County, Maryland",167699,42083,8546,0.05,Carroll County,Maryland
"Cecil County, Maryland",102552,34810,9915,0.1,Cecil County,Maryland
"Charles County, Maryland",159428,41717,9953,0.06,Charles County,Maryland
"Dorchester County, Maryland",32138,30293,5007,0.16,Dorchester County,Maryland
"Frederick County, Maryland",251422,43582,16865,0.07,Frederick County,Maryland
"Garrett County, Maryland",29235,30617,2963,0.1,Garrett County,Maryland
"Harford County, Maryland",252222,41147,17956,0.07,Harford County,Maryland
"Howard County, Maryland",318855,54628,15805,0.05,Howard County,Maryland
"Kent County, Maryland",19536,36813,2059,0.11,Kent County,Maryland
"Montgomery County, Maryland",1043530,54510,70682,0.07,Montgomery County,Maryland
"Prince George's County, Maryland",908670,37191,75341,0.08,Prince George's County,Maryland
"Queen Anne's County, Maryland",49632,44754,2822,0.06,Queen Anne's County,Maryland
"St. Mary's County, Maryland",112290,40354,8818,0.08,St. Mary's County,Maryland
"Somerset County, Maryland",25729,18772,4244,0.16,Somerset County,Maryland
"Talbot County, Maryland",37167,49136,3179,0.09,Talbot County,Maryland
"Washington County, Maryland",150109,30464,17302,0.12,Washington County,Maryland
"Wicomico County, Maryland",102539,28080,15164,0.15,Wicomico County,Maryland
"Worcester County, Maryland",51765,38080,4606,0.09,Worcester County,Maryland
"Baltimore city, Maryland",609032,31271,124436,0.2,Baltimore city,Maryland
"Barnstable County, Massachusetts",213496,44505,13529,0.06,Barnstable County,Massachusetts
"Berkshire County, Massachusetts",126425,35616,13063,0.1,Berkshire County,Massachusetts
"Bristol County, Massachusetts",561037,35747,61875,0.11,Bristol County,Massachusetts
"Dukes County, Massachusetts",17312,45990,1299,0.08,Dukes County,Massachusetts
"Essex County, Massachusetts",783676,42347,79463,0.1,Essex County,Massachusetts
"Franklin County, Massachusetts",70577,35908,6730,0.1,Franklin County,Massachusetts
"Hampden County, Massachusetts",467871,30346,74362,0.16,Hampden County,Massachusetts
"Hampshire County, Massachusetts",161032,34838,16800,0.1,Hampshire County,Massachusetts
"Middlesex County, Massachusetts",1600842,52228,114942,0.07,Middlesex County,Massachusetts
"Nantucket County, Massachusetts",11168,55398,960,0.09,Nantucket County,Massachusetts
"Norfolk County, Massachusetts",700437,53889,43145,0.06,Norfolk County,Massachusetts
"Plymouth County, Massachusetts",515303,43412,37248,0.07,Plymouth County,Massachusetts
"Suffolk County, Massachusetts",796605,42765,136934,0.17,Suffolk County,Massachusetts
"Worcester County, Massachusetts",824772,37574,80612,0.1,Worcester County,Massachusetts
"Alcona County, Michigan",10353,25636,1738,0.17,Alcona County,Michigan
"Alger County, Michigan",9151,20851,905,0.1,Alger County,Michigan
"Allegan County, Michigan",116143,29215,11890,0.1,Allegan County,Michigan
"Alpena County, Michigan",28520,25957,4002,0.14,Alpena County,Michigan
"Antrim County, Michigan",23206,31851,2527,0.11,Antrim County,Michigan
"Arenac County, Michigan",15070,24328,2547,0.17,Arenac County,Michigan
"Baraga County, Michigan",8421,22920,1067,0.13,Baraga County,Michigan
"Barry County, Michigan",60540,31760,4613,0.08,Barry County,Michigan
"Bay County, Michigan",104104,27469,16266,0.16,Bay County,Michigan
"Benzie County, Michigan",17615,29425,1650,0.09,Benzie County,Michigan
"Berrien County, Michigan",154133,30864,24305,0.16,Berrien County,Michigan
"Branch County, Michigan",43513,25279,6490,0.15,Branch County,Michigan
"Calhoun County, Michigan",134212,26855,21423,0.16,Calhoun County,Michigan
"Cass County, Michigan",51523,31295,6172,0.12,Cass County,Michigan
"Charlevoix County, Michigan",26188,33620,2607,0.1,Charlevoix County,Michigan
"Cheboygan County, Michigan",25418,26393,3732,0.15,Cheboygan County,Michigan
"Chippewa County, Michigan",37629,25086,6257,0.17,Chippewa County,Michigan
"Clare County, Michigan",30651,22573,6872,0.22,Clare County,Michigan
"Clinton County, Michigan",78389,34761,6838,0.09,Clinton County,Michigan
"Crawford County, Michigan",13892,26294,2218,0.16,Crawford County,Michigan
"Delta County, Michigan",36026,27632,4588,0.13,Delta County,Michigan
"Dickinson County, Michigan",25439,29656,2933,0.12,Dickinson County,Michigan
"Eaton County, Michigan",109456,33427,10925,0.1,Eaton County,Michigan
"Emmet County, Michigan",33104,34074,2984,0.09,Emmet County,Michigan
